date;heure;NO2;O3
;;microg/m3;microg/m3
09/01/2018;22;27;24
09/01/2018;23;23;29
09/01/2018;24;19;34
10/01/2018;1;18;36
10/01/2018;2;16;37
10/01/2018;3;16;37
10/01/2018;4;19;35
10/01/2018;5;28;28
10/01/2018;6;44;16
10/01/2018;7;59;5
10/01/2018;8;61;3
10/01/2018;9;58;4
10/01/2018;10;59;6
10/01/2018;11;51;15
10/01/2018;12;36;33
10/01/2018;13;29;42
10/01/2018;14;34;38
10/01/2018;15;39;29
10/01/2018;16;51;21
10/01/2018;17;65;7
10/01/2018;18;71;3
10/01/2018;19;71;1
10/01/2018;20;68;1
10/01/2018;21;67;2
10/01/2018;22;58;6
10/01/2018;23;59;1
10/01/2018;24;43;14
11/01/2018;1;30;27
11/01/2018;2;29;27
11/01/2018;3;21;34
11/01/2018;4;19;32
11/01/2018;5;24;28
11/01/2018;6;41;13
11/01/2018;7;56;3
11/01/2018;8;65;1
11/01/2018;9;66;2
11/01/2018;10;62;4
11/01/2018;11;60;6
11/01/2018;12;52;13
11/01/2018;13;52;17
11/01/2018;14;48;23
11/01/2018;15;45;24
11/01/2018;16;49;20
11/01/2018;17;50;19
11/01/2018;18;42;21
11/01/2018;19;38;22
11/01/2018;20;40;24
11/01/2018;21;36;25
11/01/2018;22;31;31
11/01/2018;23;22;37
11/01/2018;24;18;35
12/01/2018;1;26;22
12/01/2018;2;24;21
12/01/2018;3;25;17
12/01/2018;4;32;12
12/01/2018;5;40;7
12/01/2018;6;46;3
12/01/2018;7;51;0
12/01/2018;8;53;0
12/01/2018;9;54;1
12/01/2018;10;53;2
12/01/2018;11;51;4
12/01/2018;12;48;4
12/01/2018;13;52;5
12/01/2018;14;48;8
12/01/2018;15;52;4
12/01/2018;16;57;2
12/01/2018;17;63;0
12/01/2018;18;62;0
12/01/2018;19;59;0
12/01/2018;20;61;0
12/01/2018;21;62;0
12/01/2018;22;60;0
12/01/2018;23;57;0
12/01/2018;24;57;0
13/01/2018;1;52;0
13/01/2018;2;48;0
13/01/2018;3;45;0
13/01/2018;4;40;0
13/01/2018;5;38;0
13/01/2018;6;31;7
13/01/2018;7;29;11
13/01/2018;8;24;16
13/01/2018;9;25;13
13/01/2018;10;27;15
13/01/2018;11;25;17
13/01/2018;12;27;20
13/01/2018;13;24;23
13/01/2018;14;27;21
13/01/2018;15;30;20
13/01/2018;16;32;18
13/01/2018;17;38;10
13/01/2018;18;49;3
13/01/2018;19;45;8
13/01/2018;20;40;13
13/01/2018;21;37;16
13/01/2018;22;33;19
13/01/2018;23;36;14
13/01/2018;24;40;11
14/01/2018;1;39;9
14/01/2018;2;42;5
14/01/2018;3;41;5
14/01/2018;4;31;10
14/01/2018;5;38;2
14/01/2018;6;40;1
14/01/2018;7;40;0
14/01/2018;8;39;0
14/01/2018;9;36;3
14/01/2018;10;34;7
14/01/2018;11;36;13
14/01/2018;12;37;15
14/01/2018;13;38;15
14/01/2018;14;46;13
14/01/2018;15;48;12
14/01/2018;16;58;6
14/01/2018;17;63;2
14/01/2018;18;66;1
14/01/2018;19;62;2
14/01/2018;20;53;2
14/01/2018;21;44;8
14/01/2018;22;30;22
14/01/2018;23;22;29
14/01/2018;24;18;39
15/01/2018;1;17;42
15/01/2018;2;16;41
15/01/2018;3;17;40
15/01/2018;4;16;42
15/01/2018;5;28;28
15/01/2018;6;43;13
15/01/2018;7;53;4
15/01/2018;8;48;7
15/01/2018;9;43;17
15/01/2018;10;36;28
15/01/2018;11;34;33
15/01/2018;12;33;33
15/01/2018;13;29;40
15/01/2018;14;24;48
15/01/2018;15;23;52
15/01/2018;16;23;50
15/01/2018;17;24;49
15/01/2018;18;30;42
15/01/2018;19;n/d;n/d
15/01/2018;20;n/d;n/d
15/01/2018;21;n/d;n/d
15/01/2018;22;n/d;n/d
15/01/2018;23;n/d;61
15/01/2018;24;n/d;60
16/01/2018;1;n/d;61
16/01/2018;2;n/d;62
16/01/2018;3;n/d;67
16/01/2018;4;n/d;69
16/01/2018;5;n/d;60
16/01/2018;6;n/d;51
16/01/2018;7;n/d;52
16/01/2018;8;n/d;41
16/01/2018;9;n/d;45
16/01/2018;10;n/d;48
16/01/2018;11;n/d;56
16/01/2018;12;n/d;65
16/01/2018;13;n/d;66
16/01/2018;14;n/d;59
16/01/2018;15;n/d;59
16/01/2018;16;n/d;57
16/01/2018;17;n/d;51
16/01/2018;18;n/d;51
16/01/2018;19;n/d;58
16/01/2018;20;n/d;62
16/01/2018;21;n/d;67
16/01/2018;22;n/d;75
16/01/2018;23;n/d;77
16/01/2018;24;n/d;81
17/01/2018;1;n/d;80
17/01/2018;2;n/d;78
17/01/2018;3;n/d;76
17/01/2018;4;n/d;74
17/01/2018;5;n/d;69
17/01/2018;6;n/d;62
17/01/2018;7;n/d;49
17/01/2018;8;n/d;44
17/01/2018;9;n/d;44
17/01/2018;10;n/d;46
17/01/2018;11;24;54
17/01/2018;12;20;58
17/01/2018;13;17;61
17/01/2018;14;16;62
17/01/2018;15;17;62
17/01/2018;16;27;51
17/01/2018;17;31;45
17/01/2018;18;33;43
17/01/2018;19;32;45
17/01/2018;20;30;46
17/01/2018;21;20;54
17/01/2018;22;20;51
17/01/2018;23;20;48
17/01/2018;24;15;53
18/01/2018;1;12;57
18/01/2018;2;10;59
18/01/2018;3;7;67
18/01/2018;4;6;70
18/01/2018;5;8;68
18/01/2018;6;16;60
18/01/2018;7;24;53
18/01/2018;8;30;48
18/01/2018;9;32;46
18/01/2018;10;28;49
18/01/2018;11;26;49
18/01/2018;12;27;47
18/01/2018;13;23;56
18/01/2018;14;22;54
18/01/2018;15;29;52
18/01/2018;16;33;45
18/01/2018;17;40;39
18/01/2018;18;47;35
18/01/2018;19;43;39
18/01/2018;20;30;49
18/01/2018;21;23;57
18/01/2018;22;14;68
18/01/2018;23;14;65
18/01/2018;24;14;65
19/01/2018;1;10;67
19/01/2018;2;9;67
19/01/2018;3;16;57
19/01/2018;4;17;57
19/01/2018;5;22;47
19/01/2018;6;48;24
19/01/2018;7;54;22
19/01/2018;8;63;17
19/01/2018;9;57;22
19/01/2018;10;41;37
19/01/2018;11;40;45
19/01/2018;12;38;41
19/01/2018;13;32;44
19/01/2018;14;30;56
19/01/2018;15;43;42
19/01/2018;16;47;38
19/01/2018;17;60;24
19/01/2018;18;70;17
19/01/2018;19;49;36
19/01/2018;20;39;45
19/01/2018;21;29;52
19/01/2018;22;21;58
19/01/2018;23;25;53
19/01/2018;24;28;48
20/01/2018;1;29;44
20/01/2018;2;29;43
20/01/2018;3;24;44
20/01/2018;4;22;45
20/01/2018;5;26;40
20/01/2018;6;40;28
20/01/2018;7;42;26
20/01/2018;8;41;31
20/01/2018;9;37;40
20/01/2018;10;35;46
20/01/2018;11;37;45
20/01/2018;12;43;36
20/01/2018;13;54;23
20/01/2018;14;36;35
20/01/2018;15;19;50
20/01/2018;16;17;55
20/01/2018;17;18;52
20/01/2018;18;40;25
20/01/2018;19;33;36
20/01/2018;20;23;48
20/01/2018;21;15;61
20/01/2018;22;12;61
20/01/2018;23;17;53
20/01/2018;24;19;50
21/01/2018;1;18;50
21/01/2018;2;17;47
21/01/2018;3;17;49
21/01/2018;4;13;55
21/01/2018;5;14;55
21/01/2018;6;12;58
21/01/2018;7;14;50
21/01/2018;8;21;39
21/01/2018;9;27;39
21/01/2018;10;26;44
21/01/2018;11;25;37
21/01/2018;12;29;29
21/01/2018;13;32;28
21/01/2018;14;31;29
21/01/2018;15;33;24
21/01/2018;16;35;21
21/01/2018;17;50;9
21/01/2018;18;62;2
21/01/2018;19;67;1
21/01/2018;20;65;3
21/01/2018;21;32;30
21/01/2018;22;14;45
21/01/2018;23;14;44
21/01/2018;24;9;47
22/01/2018;1;8;48
22/01/2018;2;6;49
22/01/2018;3;6;46
22/01/2018;4;9;43
22/01/2018;5;17;37
22/01/2018;6;29;26
22/01/2018;7;52;9
22/01/2018;8;57;8
22/01/2018;9;52;13
22/01/2018;10;38;26
22/01/2018;11;25;40
22/01/2018;12;29;43
22/01/2018;13;51;32
22/01/2018;14;50;39
22/01/2018;15;34;45
22/01/2018;16;31;42
22/01/2018;17;35;40
22/01/2018;18;33;44
22/01/2018;19;44;36
22/01/2018;20;33;44
22/01/2018;21;26;49
22/01/2018;22;16;62
22/01/2018;23;13;65
22/01/2018;24;19;57
23/01/2018;1;26;49
23/01/2018;2;19;55
23/01/2018;3;20;53
23/01/2018;4;14;63
23/01/2018;5;24;52
23/01/2018;6;55;25
23/01/2018;7;76;7
23/01/2018;8;79;6
23/01/2018;9;74;11
23/01/2018;10;46;30
23/01/2018;11;37;24
23/01/2018;12;46;21
23/01/2018;13;46;22
23/01/2018;14;46;25
23/01/2018;15;40;28
23/01/2018;16;47;20
23/01/2018;17;46;18
23/01/2018;18;53;10
23/01/2018;19;47;13
23/01/2018;20;39;17
23/01/2018;21;25;29
23/01/2018;22;18;35
23/01/2018;23;14;39
23/01/2018;24;15;40
24/01/2018;1;12;43
24/01/2018;2;10;46
24/01/2018;3;10;48
24/01/2018;4;11;46
24/01/2018;5;16;41
24/01/2018;6;26;35
24/01/2018;7;35;27
24/01/2018;8;45;21
24/01/2018;9;40;27
24/01/2018;10;36;32
24/01/2018;11;31;35
24/01/2018;12;22;42
24/01/2018;13;22;43
24/01/2018;14;25;43
24/01/2018;15;26;40
24/01/2018;16;26;39
24/01/2018;17;30;34
24/01/2018;18;32;31
24/01/2018;19;32;31
24/01/2018;20;23;39
24/01/2018;21;17;43
24/01/2018;22;13;46
24/01/2018;23;12;44
24/01/2018;24;11;45
25/01/2018;1;9;55
25/01/2018;2;10;64
25/01/2018;3;8;69
25/01/2018;4;9;70
25/01/2018;5;20;59
25/01/2018;6;41;42
25/01/2018;7;65;19
25/01/2018;8;69;16
25/01/2018;9;68;18
25/01/2018;10;56;31
25/01/2018;11;60;26
25/01/2018;12;57;28
25/01/2018;13;59;26
25/01/2018;14;68;21
25/01/2018;15;61;24
25/01/2018;16;67;18
25/01/2018;17;71;12
25/01/2018;18;63;18
25/01/2018;19;62;19
25/01/2018;20;58;19
25/01/2018;21;42;32
25/01/2018;22;32;40
25/01/2018;23;21;50
25/01/2018;24;18;49
26/01/2018;1;18;48
26/01/2018;2;30;36
26/01/2018;3;32;31
26/01/2018;4;30;30
26/01/2018;5;42;18
26/01/2018;6;54;9
26/01/2018;7;59;4
26/01/2018;8;59;6
26/01/2018;9;55;11
26/01/2018;10;52;15
26/01/2018;11;40;27
26/01/2018;12;33;35
26/01/2018;13;29;41
26/01/2018;14;26;45
26/01/2018;15;29;40
26/01/2018;16;35;38
26/01/2018;17;56;18
26/01/2018;18;73;2
26/01/2018;19;78;1
26/01/2018;20;78;1
26/01/2018;21;77;1
26/01/2018;22;78;1
26/01/2018;23;74;0
26/01/2018;24;82;1
27/01/2018;1;81;1
27/01/2018;2;76;0
27/01/2018;3;65;1
27/01/2018;4;59;0
27/01/2018;5;42;13
27/01/2018;6;45;8
27/01/2018;7;52;7
27/01/2018;8;53;8
27/01/2018;9;56;6
27/01/2018;10;62;5
27/01/2018;11;65;4
27/01/2018;12;58;7
27/01/2018;13;45;15
27/01/2018;14;37;23
27/01/2018;15;40;26
27/01/2018;16;47;22
27/01/2018;17;38;28
27/01/2018;18;49;19
27/01/2018;19;52;15
27/01/2018;20;50;17
27/01/2018;21;36;30
27/01/2018;22;33;27
27/01/2018;23;30;26
27/01/2018;24;29;27
28/01/2018;1;27;28
28/01/2018;2;23;29
28/01/2018;3;17;34
28/01/2018;4;15;33
28/01/2018;5;22;25
28/01/2018;6;29;19
28/01/2018;7;31;17
28/01/2018;8;25;23
28/01/2018;9;28;21
28/01/2018;10;29;21
28/01/2018;11;30;22
28/01/2018;12;36;17
28/01/2018;13;34;19
28/01/2018;14;37;16
28/01/2018;15;38;21
28/01/2018;16;32;31
28/01/2018;17;41;18
28/01/2018;18;48;8
28/01/2018;19;54;4
28/01/2018;20;47;10
28/01/2018;21;40;19
28/01/2018;22;25;39
28/01/2018;23;20;44
28/01/2018;24;25;35
29/01/2018;1;28;33
29/01/2018;2;16;43
29/01/2018;3;17;36
29/01/2018;4;21;31
29/01/2018;5;20;37
29/01/2018;6;31;29
29/01/2018;7;43;20
29/01/2018;8;50;15
29/01/2018;9;54;12
29/01/2018;10;47;19
29/01/2018;11;30;35
29/01/2018;12;24;45
29/01/2018;13;24;44
29/01/2018;14;27;43
29/01/2018;15;29;41
29/01/2018;16;35;37
29/01/2018;17;38;34
29/01/2018;18;44;29
29/01/2018;19;42;31
29/01/2018;20;32;40
29/01/2018;21;24;49
29/01/2018;22;16;54
29/01/2018;23;13;55
29/01/2018;24;11;55
30/01/2018;1;11;53
30/01/2018;2;11;50
30/01/2018;3;11;49
30/01/2018;4;11;46
30/01/2018;5;19;39
30/01/2018;6;28;33
30/01/2018;7;42;23
30/01/2018;8;59;7
30/01/2018;9;61;4
30/01/2018;10;54;7
30/01/2018;11;48;13
30/01/2018;12;41;23
30/01/2018;13;37;25
30/01/2018;14;41;21
30/01/2018;15;30;32
30/01/2018;16;39;26
30/01/2018;17;41;24
30/01/2018;18;42;22
30/01/2018;19;41;22
30/01/2018;20;37;24
30/01/2018;21;26;35
30/01/2018;22;21;39
30/01/2018;23;18;42
30/01/2018;24;14;45
31/01/2018;1;10;n/d
31/01/2018;2;8;n/d
31/01/2018;3;7;n/d
31/01/2018;4;8;n/d
31/01/2018;5;11;n/d
31/01/2018;6;19;n/d
31/01/2018;7;26;n/d
31/01/2018;8;29;n/d
31/01/2018;9;27;n/d
31/01/2018;10;28;n/d
31/01/2018;11;26;39
31/01/2018;12;24;41
31/01/2018;13;25;38
31/01/2018;14;25;39
31/01/2018;15;29;47
31/01/2018;16;31;54
31/01/2018;17;35;52
31/01/2018;18;54;35
31/01/2018;19;41;46
31/01/2018;20;28;56
31/01/2018;21;24;57
31/01/2018;22;19;63
31/01/2018;23;16;66
31/01/2018;24;15;65
01/02/2018;1;12;66
01/02/2018;2;13;63
01/02/2018;3;12;62
01/02/2018;4;19;50
01/02/2018;5;23;46
01/02/2018;6;42;29
01/02/2018;7;60;13
01/02/2018;8;55;17
01/02/2018;9;53;18
01/02/2018;10;46;26
01/02/2018;11;34;35
01/02/2018;12;27;45
01/02/2018;13;22;51
01/02/2018;14;27;48
01/02/2018;15;28;49
01/02/2018;16;31;43
01/02/2018;17;39;37
01/02/2018;18;45;28
01/02/2018;19;54;23
01/02/2018;20;47;22
01/02/2018;21;62;12
01/02/2018;22;52;18
