date;heure;NO2;O3
;;microg/m3;microg/m3
07/05/2019;19;n/d;81
07/05/2019;20;n/d;73
07/05/2019;21;n/d;64
07/05/2019;22;n/d;68
07/05/2019;23;n/d;72
07/05/2019;24;n/d;69
08/05/2019;1;n/d;71
08/05/2019;2;n/d;74
08/05/2019;3;n/d;66
08/05/2019;4;n/d;56
08/05/2019;5;n/d;51
08/05/2019;6;n/d;45
08/05/2019;7;n/d;54
08/05/2019;8;n/d;58
08/05/2019;9;n/d;56
08/05/2019;10;n/d;47
08/05/2019;11;n/d;55
08/05/2019;12;n/d;62
08/05/2019;13;n/d;69
08/05/2019;14;n/d;63
08/05/2019;15;n/d;59
08/05/2019;16;n/d;50
08/05/2019;17;n/d;66
08/05/2019;18;n/d;65
08/05/2019;19;n/d;50
08/05/2019;20;n/d;41
08/05/2019;21;n/d;38
08/05/2019;22;n/d;58
08/05/2019;23;n/d;63
08/05/2019;24;n/d;67
09/05/2019;1;n/d;71
09/05/2019;2;n/d;69
09/05/2019;3;n/d;65
09/05/2019;4;n/d;57
09/05/2019;5;n/d;30
09/05/2019;6;n/d;18
09/05/2019;7;n/d;25
09/05/2019;8;n/d;34
09/05/2019;9;n/d;39
09/05/2019;10;25;40
09/05/2019;11;20;50
09/05/2019;12;20;52
09/05/2019;13;16;67
09/05/2019;14;20;61
09/05/2019;15;18;62
09/05/2019;16;18;67
09/05/2019;17;20;66
09/05/2019;18;19;68
09/05/2019;19;23;67
09/05/2019;20;28;57
09/05/2019;21;32;47
09/05/2019;22;27;52
09/05/2019;23;19;55
09/05/2019;24;18;54
10/05/2019;1;13;52
10/05/2019;2;12;55
10/05/2019;3;9;70
10/05/2019;4;10;68
10/05/2019;5;26;47
10/05/2019;6;47;29
10/05/2019;7;49;27
10/05/2019;8;51;33
10/05/2019;9;37;45
10/05/2019;10;31;50
10/05/2019;11;23;66
10/05/2019;12;22;73
10/05/2019;13;17;80
10/05/2019;14;22;73
10/05/2019;15;26;67
10/05/2019;16;30;61
10/05/2019;17;28;51
10/05/2019;18;36;43
10/05/2019;19;44;34
10/05/2019;20;46;29
10/05/2019;21;35;36
10/05/2019;22;29;42
10/05/2019;23;23;53
10/05/2019;24;20;56
11/05/2019;1;12;64
11/05/2019;2;11;62
11/05/2019;3;9;66
11/05/2019;4;11;58
11/05/2019;5;19;53
11/05/2019;6;23;46
11/05/2019;7;21;47
11/05/2019;8;24;42
11/05/2019;9;25;42
11/05/2019;10;23;44
11/05/2019;11;22;46
11/05/2019;12;19;55
11/05/2019;13;18;66
11/05/2019;14;11;81
11/05/2019;15;13;83
11/05/2019;16;16;81
11/05/2019;17;19;71
11/05/2019;18;25;66
11/05/2019;19;29;66
11/05/2019;20;20;76
11/05/2019;21;19;69
11/05/2019;22;24;61
11/05/2019;23;21;67
11/05/2019;24;21;64
12/05/2019;1;14;72
12/05/2019;2;12;74
12/05/2019;3;13;70
12/05/2019;4;15;64
12/05/2019;5;16;63
12/05/2019;6;20;61
12/05/2019;7;13;69
12/05/2019;8;11;74
12/05/2019;9;9;82
12/05/2019;10;9;83
12/05/2019;11;8;87
12/05/2019;12;7;90
12/05/2019;13;7;88
12/05/2019;14;7;90
12/05/2019;15;8;91
12/05/2019;16;9;91
12/05/2019;17;11;90
12/05/2019;18;15;88
12/05/2019;19;14;85
12/05/2019;20;19;79
12/05/2019;21;26;69
12/05/2019;22;32;60
12/05/2019;23;24;63
12/05/2019;24;18;67
13/05/2019;1;13;70
13/05/2019;2;12;68
13/05/2019;3;12;66
13/05/2019;4;15;60
13/05/2019;5;30;43
13/05/2019;6;42;34
13/05/2019;7;39;38
13/05/2019;8;35;44
13/05/2019;9;21;64
13/05/2019;10;11;80
13/05/2019;11;8;90
13/05/2019;12;8;93
13/05/2019;13;10;94
13/05/2019;14;10;97
13/05/2019;15;11;97
13/05/2019;16;11;97
13/05/2019;17;11;97
13/05/2019;18;13;89
13/05/2019;19;18;79
13/05/2019;20;19;79
13/05/2019;21;21;75
13/05/2019;22;24;67
13/05/2019;23;22;65
13/05/2019;24;19;66
14/05/2019;1;17;65
14/05/2019;2;16;65
14/05/2019;3;16;65
14/05/2019;4;21;60
14/05/2019;5;30;52
14/05/2019;6;40;43
14/05/2019;7;38;45
14/05/2019;8;30;56
14/05/2019;9;18;69
14/05/2019;10;12;83
14/05/2019;11;9;94
14/05/2019;12;9;99
14/05/2019;13;11;96
14/05/2019;14;13;99
14/05/2019;15;13;101
14/05/2019;16;13;98
14/05/2019;17;15;91
14/05/2019;18;17;89
14/05/2019;19;19;87
14/05/2019;20;19;87
14/05/2019;21;25;74
14/05/2019;22;24;72
14/05/2019;23;22;69
14/05/2019;24;18;70
15/05/2019;1;15;70
15/05/2019;2;15;68
15/05/2019;3;15;69
15/05/2019;4;18;66
15/05/2019;5;30;53
15/05/2019;6;38;49
15/05/2019;7;34;52
15/05/2019;8;28;60
15/05/2019;9;18;75
15/05/2019;10;11;86
15/05/2019;11;10;88
15/05/2019;12;9;94
15/05/2019;13;n/d;98
15/05/2019;14;n/d;n/d
15/05/2019;15;n/d;101
15/05/2019;16;11;102
15/05/2019;17;10;105
15/05/2019;18;13;102
15/05/2019;19;16;102
15/05/2019;20;22;91
15/05/2019;21;28;80
15/05/2019;22;32;71
15/05/2019;23;26;74
15/05/2019;24;23;71
16/05/2019;1;21;66
16/05/2019;2;20;62
16/05/2019;3;22;54
16/05/2019;4;24;54
16/05/2019;5;36;44
16/05/2019;6;49;39
16/05/2019;7;45;39
16/05/2019;8;47;37
16/05/2019;9;33;59
16/05/2019;10;14;84
16/05/2019;11;10;95
16/05/2019;12;10;99
16/05/2019;13;9;100
16/05/2019;14;9;103
16/05/2019;15;10;101
16/05/2019;16;9;101
16/05/2019;17;9;102
16/05/2019;18;10;100
16/05/2019;19;13;96
16/05/2019;20;17;92
16/05/2019;21;20;85
16/05/2019;22;27;76
16/05/2019;23;28;76
16/05/2019;24;29;73
17/05/2019;1;21;72
17/05/2019;2;20;63
17/05/2019;3;25;53
17/05/2019;4;20;51
