date;heure;NO2;O3
;;microg/m3;microg/m3
09/01/2017;21;35;24
09/01/2017;22;32;28
09/01/2017;23;23;36
09/01/2017;24;18;39
10/01/2017;1;10;53
10/01/2017;2;11;51
10/01/2017;3;13;46
10/01/2017;4;17;40
10/01/2017;5;32;25
10/01/2017;6;48;14
10/01/2017;7;62;6
10/01/2017;8;73;2
10/01/2017;9;67;4
10/01/2017;10;52;17
10/01/2017;11;48;22
10/01/2017;12;47;23
10/01/2017;13;45;23
10/01/2017;14;45;24
10/01/2017;15;59;13
10/01/2017;16;64;8
10/01/2017;17;67;5
10/01/2017;18;68;6
10/01/2017;19;62;10
10/01/2017;20;65;7
10/01/2017;21;75;1
10/01/2017;22;63;9
10/01/2017;23;46;15
10/01/2017;24;37;23
11/01/2017;1;26;29
11/01/2017;2;28;24
11/01/2017;3;29;22
11/01/2017;4;28;22
11/01/2017;5;34;20
11/01/2017;6;45;14
11/01/2017;7;55;7
11/01/2017;8;59;4
11/01/2017;9;55;4
11/01/2017;10;53;6
11/01/2017;11;53;6
11/01/2017;12;40;17
11/01/2017;13;42;14
11/01/2017;14;41;17
11/01/2017;15;38;27
11/01/2017;16;26;46
11/01/2017;17;33;44
11/01/2017;18;27;54
11/01/2017;19;35;45
11/01/2017;20;36;46
11/01/2017;21;28;50
11/01/2017;22;32;41
11/01/2017;23;31;42
11/01/2017;24;22;56
12/01/2017;1;14;62
12/01/2017;2;15;58
12/01/2017;3;16;58
12/01/2017;4;17;56
12/01/2017;5;29;44
12/01/2017;6;49;25
12/01/2017;7;62;15
12/01/2017;8;66;12
12/01/2017;9;66;11
12/01/2017;10;59;17
12/01/2017;11;53;24
12/01/2017;12;44;31
12/01/2017;13;43;33
12/01/2017;14;51;30
12/01/2017;15;55;24
12/01/2017;16;52;25
12/01/2017;17;50;32
12/01/2017;18;40;38
12/01/2017;19;29;49
12/01/2017;20;14;67
12/01/2017;21;10;64
12/01/2017;22;11;60
12/01/2017;23;10;63
12/01/2017;24;11;62
13/01/2017;1;11;61
13/01/2017;2;9;62
13/01/2017;3;10;61
13/01/2017;4;9;67
13/01/2017;5;13;60
13/01/2017;6;25;50
13/01/2017;7;39;36
13/01/2017;8;53;23
13/01/2017;9;51;26
13/01/2017;10;41;33
13/01/2017;11;31;41
13/01/2017;12;29;46
13/01/2017;13;23;55
13/01/2017;14;28;51
13/01/2017;15;25;53
13/01/2017;16;27;51
13/01/2017;17;28;46
13/01/2017;18;34;42
13/01/2017;19;32;42
13/01/2017;20;39;35
13/01/2017;21;35;39
13/01/2017;22;26;47
13/01/2017;23;21;52
13/01/2017;24;18;53
14/01/2017;1;15;55
14/01/2017;2;16;53
14/01/2017;3;14;55
14/01/2017;4;18;50
14/01/2017;5;22;43
14/01/2017;6;33;35
14/01/2017;7;32;37
14/01/2017;8;31;39
14/01/2017;9;34;37
14/01/2017;10;43;31
14/01/2017;11;40;35
14/01/2017;12;37;36
14/01/2017;13;39;32
14/01/2017;14;33;38
14/01/2017;15;36;36
14/01/2017;16;34;38
14/01/2017;17;41;31
14/01/2017;18;38;37
14/01/2017;19;55;23
14/01/2017;20;53;20
14/01/2017;21;50;24
14/01/2017;22;43;26
14/01/2017;23;46;21
14/01/2017;24;51;16
15/01/2017;1;44;20
15/01/2017;2;48;15
15/01/2017;3;50;16
15/01/2017;4;47;17
15/01/2017;5;50;9
15/01/2017;6;49;10
15/01/2017;7;49;10
15/01/2017;8;54;4
15/01/2017;9;60;3
15/01/2017;10;56;6
15/01/2017;11;44;16
15/01/2017;12;41;23
15/01/2017;13;35;31
15/01/2017;14;34;36
15/01/2017;15;31;43
15/01/2017;16;38;38
15/01/2017;17;61;20
15/01/2017;18;68;13
15/01/2017;19;67;11
15/01/2017;20;55;16
15/01/2017;21;47;20
15/01/2017;22;40;24
15/01/2017;23;33;27
15/01/2017;24;29;28
16/01/2017;1;26;30
16/01/2017;2;18;36
16/01/2017;3;17;31
16/01/2017;4;16;36
16/01/2017;5;12;48
16/01/2017;6;17;48
16/01/2017;7;51;16
16/01/2017;8;57;5
16/01/2017;9;56;9
16/01/2017;10;60;10
16/01/2017;11;57;11
16/01/2017;12;45;18
16/01/2017;13;42;20
16/01/2017;14;46;18
16/01/2017;15;53;13
16/01/2017;16;51;16
16/01/2017;17;58;8
16/01/2017;18;63;5
16/01/2017;19;61;8
16/01/2017;20;65;5
16/01/2017;21;63;5
16/01/2017;22;63;4
16/01/2017;23;55;6
16/01/2017;24;38;17
17/01/2017;1;40;11
17/01/2017;2;44;11
17/01/2017;3;47;6
17/01/2017;4;43;8
17/01/2017;5;48;5
17/01/2017;6;51;3
17/01/2017;7;56;1
17/01/2017;8;60;2
17/01/2017;9;52;4
17/01/2017;10;51;9
17/01/2017;11;50;14
17/01/2017;12;48;19
17/01/2017;13;44;23
17/01/2017;14;44;21
17/01/2017;15;47;18
17/01/2017;16;52;13
17/01/2017;17;58;7
17/01/2017;18;57;9
17/01/2017;19;62;5
17/01/2017;20;59;10
17/01/2017;21;57;14
17/01/2017;22;48;22
17/01/2017;23;34;32
17/01/2017;24;32;33
18/01/2017;1;35;30
18/01/2017;2;32;31
18/01/2017;3;31;29
18/01/2017;4;32;27
18/01/2017;5;39;21
18/01/2017;6;47;15
18/01/2017;7;52;11
18/01/2017;8;60;6
18/01/2017;9;55;12
18/01/2017;10;43;22
18/01/2017;11;36;30
18/01/2017;12;30;35
18/01/2017;13;32;34
18/01/2017;14;34;33
18/01/2017;15;35;33
18/01/2017;16;40;27
18/01/2017;17;53;14
18/01/2017;18;63;7
18/01/2017;19;65;5
18/01/2017;20;61;8
18/01/2017;21;55;12
18/01/2017;22;48;17
18/01/2017;23;46;16
18/01/2017;24;45;18
19/01/2017;1;41;20
19/01/2017;2;41;18
19/01/2017;3;39;21
19/01/2017;4;34;22
19/01/2017;5;41;14
19/01/2017;6;51;7
19/01/2017;7;56;6
19/01/2017;8;58;5
19/01/2017;9;53;10
19/01/2017;10;46;17
19/01/2017;11;31;31
19/01/2017;12;28;34
19/01/2017;13;30;36
19/01/2017;14;35;33
19/01/2017;15;36;32
19/01/2017;16;43;26
19/01/2017;17;48;22
19/01/2017;18;62;9
19/01/2017;19;70;6
19/01/2017;20;76;4
19/01/2017;21;76;4
19/01/2017;22;71;6
19/01/2017;23;62;10
19/01/2017;24;61;10
20/01/2017;1;51;19
20/01/2017;2;46;21
20/01/2017;3;40;23
20/01/2017;4;39;23
20/01/2017;5;43;19
20/01/2017;6;52;10
20/01/2017;7;65;3
20/01/2017;8;65;3
20/01/2017;9;63;6
20/01/2017;10;52;16
20/01/2017;11;47;20
20/01/2017;12;35;29
20/01/2017;13;36;29
20/01/2017;14;37;28
20/01/2017;15;41;27
20/01/2017;16;45;23
20/01/2017;17;55;15
20/01/2017;18;67;5
20/01/2017;19;74;3
20/01/2017;20;75;3
20/01/2017;21;69;4
20/01/2017;22;69;4
20/01/2017;23;71;4
20/01/2017;24;68;4
21/01/2017;1;63;4
21/01/2017;2;58;5
21/01/2017;3;56;6
21/01/2017;4;58;2
21/01/2017;5;58;2
21/01/2017;6;55;2
21/01/2017;7;55;1
21/01/2017;8;58;2
21/01/2017;9;56;4
21/01/2017;10;51;8
21/01/2017;11;48;12
21/01/2017;12;54;14
21/01/2017;13;64;11
21/01/2017;14;60;16
21/01/2017;15;62;16
21/01/2017;16;71;9
21/01/2017;17;79;4
21/01/2017;18;77;3
21/01/2017;19;87;4
21/01/2017;20;94;4
21/01/2017;21;91;5
21/01/2017;22;96;8
21/01/2017;23;93;7
21/01/2017;24;87;6
22/01/2017;1;72;3
22/01/2017;2;67;2
22/01/2017;3;63;2
22/01/2017;4;73;3
22/01/2017;5;66;2
22/01/2017;6;67;2
22/01/2017;7;69;2
22/01/2017;8;68;2
22/01/2017;9;62;3
22/01/2017;10;62;8
22/01/2017;11;74;10
22/01/2017;12;87;12
22/01/2017;13;83;15
22/01/2017;14;73;22
22/01/2017;15;67;20
22/01/2017;16;80;8
22/01/2017;17;80;5
22/01/2017;18;85;4
22/01/2017;19;87;3
22/01/2017;20;84;3
22/01/2017;21;80;3
22/01/2017;22;75;2
22/01/2017;23;70;2
22/01/2017;24;66;4
23/01/2017;1;63;4
23/01/2017;2;62;4
23/01/2017;3;63;3
23/01/2017;4;63;2
23/01/2017;5;67;2
23/01/2017;6;71;2
23/01/2017;7;75;2
23/01/2017;8;82;2
23/01/2017;9;82;4
23/01/2017;10;71;6
23/01/2017;11;67;5
23/01/2017;12;73;5
23/01/2017;13;74;7
23/01/2017;14;72;10
23/01/2017;15;68;10
23/01/2017;16;73;5
23/01/2017;17;77;1
23/01/2017;18;78;1
23/01/2017;19;78;1
23/01/2017;20;75;1
23/01/2017;21;72;1
23/01/2017;22;71;1
23/01/2017;23;71;1
23/01/2017;24;70;1
24/01/2017;1;71;1
24/01/2017;2;67;1
24/01/2017;3;63;1
24/01/2017;4;59;1
24/01/2017;5;59;1
24/01/2017;6;60;1
24/01/2017;7;60;1
24/01/2017;8;61;1
24/01/2017;9;69;1
24/01/2017;10;68;1
24/01/2017;11;66;3
24/01/2017;12;65;2
24/01/2017;13;73;3
24/01/2017;14;78;3
24/01/2017;15;84;3
24/01/2017;16;79;3
24/01/2017;17;76;2
24/01/2017;18;76;1
24/01/2017;19;79;1
24/01/2017;20;70;1
24/01/2017;21;47;10
24/01/2017;22;49;8
24/01/2017;23;41;13
24/01/2017;24;27;25
25/01/2017;1;23;30
25/01/2017;2;26;26
25/01/2017;3;33;24
25/01/2017;4;28;30
25/01/2017;5;34;19
25/01/2017;6;48;7
25/01/2017;7;37;23
25/01/2017;8;34;26
25/01/2017;9;35;27
25/01/2017;10;32;30
25/01/2017;11;31;29
25/01/2017;12;26;34
25/01/2017;13;30;31
25/01/2017;14;36;24
25/01/2017;15;42;17
25/01/2017;16;42;19
25/01/2017;17;38;22
25/01/2017;18;38;20
25/01/2017;19;35;20
25/01/2017;20;32;22
25/01/2017;21;37;16
25/01/2017;22;31;24
25/01/2017;23;29;26
25/01/2017;24;29;25
26/01/2017;1;27;26
26/01/2017;2;24;30
26/01/2017;3;21;33
26/01/2017;4;26;27
26/01/2017;5;31;21
26/01/2017;6;42;10
26/01/2017;7;46;6
26/01/2017;8;50;3
26/01/2017;9;46;8
26/01/2017;10;48;10
26/01/2017;11;46;14
26/01/2017;12;49;15
26/01/2017;13;50;19
26/01/2017;14;52;22
26/01/2017;15;54;19
26/01/2017;16;64;11
26/01/2017;17;69;6
26/01/2017;18;72;3
26/01/2017;19;73;2
26/01/2017;20;67;4
26/01/2017;21;62;4
26/01/2017;22;53;8
26/01/2017;23;52;9
26/01/2017;24;53;7
27/01/2017;1;49;11
27/01/2017;2;45;15
27/01/2017;3;41;19
27/01/2017;4;43;15
27/01/2017;5;47;11
27/01/2017;6;61;2
27/01/2017;7;64;2
27/01/2017;8;66;2
27/01/2017;9;68;4
27/01/2017;10;64;6
27/01/2017;11;64;11
27/01/2017;12;61;17
27/01/2017;13;52;23
27/01/2017;14;65;14
27/01/2017;15;68;13
27/01/2017;16;72;11
27/01/2017;17;82;4
27/01/2017;18;85;3
27/01/2017;19;91;3
27/01/2017;20;87;7
27/01/2017;21;50;34
27/01/2017;22;39;43
27/01/2017;23;33;48
27/01/2017;24;32;46
28/01/2017;1;34;38
28/01/2017;2;48;24
28/01/2017;3;37;37
28/01/2017;4;26;43
28/01/2017;5;28;42
28/01/2017;6;31;43
28/01/2017;7;39;34
28/01/2017;8;62;16
28/01/2017;9;50;25
28/01/2017;10;47;26
28/01/2017;11;51;25
28/01/2017;12;23;46
28/01/2017;13;30;39
28/01/2017;14;29;43
28/01/2017;15;30;40
28/01/2017;16;34;37
28/01/2017;17;59;17
28/01/2017;18;85;3
28/01/2017;19;92;2
28/01/2017;20;94;2
28/01/2017;21;88;3
28/01/2017;22;76;9
28/01/2017;23;62;13
28/01/2017;24;65;9
29/01/2017;1;50;21
29/01/2017;2;49;21
29/01/2017;3;41;25
29/01/2017;4;41;22
29/01/2017;5;40;21
29/01/2017;6;46;15
29/01/2017;7;37;23
29/01/2017;8;30;30
29/01/2017;9;30;30
29/01/2017;10;29;29
29/01/2017;11;32;28
29/01/2017;12;36;29
29/01/2017;13;32;40
29/01/2017;14;33;38
29/01/2017;15;35;39
29/01/2017;16;40;34
29/01/2017;17;51;24
29/01/2017;18;58;21
29/01/2017;19;57;20
29/01/2017;20;53;23
29/01/2017;21;40;30
29/01/2017;22;33;36
29/01/2017;23;26;40
29/01/2017;24;22;47
30/01/2017;1;18;49
30/01/2017;2;18;52
30/01/2017;3;13;56
30/01/2017;4;16;50
30/01/2017;5;17;49
30/01/2017;6;30;36
30/01/2017;7;49;17
30/01/2017;8;58;9
30/01/2017;9;57;7
30/01/2017;10;51;9
30/01/2017;11;51;8
30/01/2017;12;41;16
30/01/2017;13;38;17
30/01/2017;14;42;16
30/01/2017;15;40;15
