X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
0.062222,43.2303,HAUTES-PYRENEES,TARBES,65440,Tarbes-Dupuy Urbain,FR50052,Urbaine,Fond,NO2,8,10,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,461244,6241231,7734
3.86472,43.6117,HERAULT,MONTPELLIER,34172,Montpellier - Chaptal Urbain,FR50201,Urbaine,Fond,NO2,8,43.8,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,769827,6279565,7735
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NO2,8,29.6,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,771642,6277340,7736
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NO2,8,9.8,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,572227,6276450,7737
0.719131,43.1049,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint-Gaudens urbain,FR50825,Urbaine,Fond,NO2,8,8.4,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,514212,6225531,7738
-0.038889,43.0969,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Lapaca Urbain,FR50042,Urbaine,Fond,NO2,8,9.3,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,452460,6226722,7739
1.373,43.631,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,NO2,8,10.3,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,568669,6282681,7740
-0.051944,43.095,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Paradis Trafic,FR50045,Urbaine,Trafic,NO2,8,9.3,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,451389,6226552,7741
2.14611,43.9281,TARN,ALBI,81004,Albi Urbain,FR50026,Urbaine,Fond,NO2,8,21.6,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,631428,6314715,7742
2.90345,42.684,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Sud - urbain,FR50219,Urbaine,Fond,NO2,8,12.6,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,692077,6176047,7743
